,Degree Centrality,Betweenness Centrality,Eigen Centrality,Closeness Centrality,Page Rank,In-degree Centrality,Out-degree Centrality,Elongation,Expansion,Teacher Disciple Degree,Colleague Degree,Unidirect Density,Bidirect Density
Australia,0.625,0.0033837991718426498,0.17513906334552837,0.5104166666666667,0.015020352729016896,0.29166666666666663,0.3333333333333333,3,23,0.6363636363636364,0.36363636363636365,0.14,0.08
China,1.5,0.12476492408557628,0.35798942039395093,0.7067307692307693,0.20471015341788712,0.7083333333333333,0.7916666666666666,2,23,0.2,0.8,0.08,0.32
Colombia,0.5833333333333333,0.001813750862663906,0.1852580652449635,0.5404411764705883,0.012879442868280518,0.3333333333333333,0.25,3,23,0.6,0.4,0.12,0.08
France,0.8333333333333333,0.027689354727398204,0.2480170375979422,0.6124999999999999,0.018188895511955277,0.5,0.3333333333333333,2,23,0.6666666666666666,0.3333333333333333,0.2,0.1
Hong Kong,0.5833333333333333,0.0022342995169082128,0.17610729332139557,0.525,0.014627804286866816,0.3333333333333333,0.25,3,23,0.7272727272727273,0.2727272727272727,0.16,0.06
India,1.25,0.060556849551414764,0.34666664738464553,0.6805555555555556,0.06693219533981443,0.6666666666666666,0.5833333333333333,2,23,0.42105263157894735,0.5789473684210527,0.16,0.22
South Korea,0.875,0.010554692891649415,0.2235102985653258,0.5404411764705883,0.014713507858950257,0.375,0.5,3,23,0.5,0.5,0.14,0.14
United States,1.7916666666666665,0.29266951345755693,0.3902621864861281,0.8352272727272727,0.4192618472056365,0.875,0.9166666666666666,2,23,0.20833333333333334,0.7916666666666666,0.1,0.38
Brazil,0.8333333333333333,0.005411059351276742,0.24190528805213274,0.5568181818181818,0.016981227585575662,0.41666666666666663,0.41666666666666663,3,23,0.3333333333333333,0.6666666666666666,0.08,0.16
Germany,0.8333333333333333,0.045699620427881296,0.23416226045456087,0.5568181818181818,0.017679254771914857,0.41666666666666663,0.41666666666666663,3,23,0.5714285714285714,0.42857142857142855,0.16,0.12
Japan,0.4583333333333333,0.002022946859903382,0.20539347090908153,0.5404411764705883,0.011713709778050026,0.3333333333333333,0.125,3,23,0.7777777777777778,0.2222222222222222,0.14,0.04
Sweden,0.7916666666666666,0.005574965493443755,0.16292350505524064,0.5104166666666667,0.012197334340632651,0.25,0.5416666666666666,3,23,0.5384615384615384,0.46153846153846156,0.14,0.12
United Kingdom,1.0833333333333333,0.03184092477570739,0.2517985129094563,0.57421875,0.030424701696001928,0.4583333333333333,0.625,3,23,0.47058823529411764,0.5294117647058824,0.16,0.18
Indonesia,0.375,0.03804347826086957,0.1423802889238124,0.4835526315789474,0.013094595903038037,0.20833333333333331,0.16666666666666666,3,23,0.7142857142857143,0.2857142857142857,0.1,0.04
Israel,0.7083333333333333,0.006478605935127674,0.1922300465307672,0.525,0.012190791925422313,0.3333333333333333,0.375,3,23,0.5833333333333334,0.4166666666666667,0.14,0.1
Mexico,0.5,0.00025879917184265007,0.12909420474513117,0.4835526315789474,0.009216113826987513,0.16666666666666666,0.3333333333333333,3,23,0.5,0.5,0.08,0.08
Portugal,0.20833333333333331,0.0,0.07172621677966244,0.45937500000000003,0.0072415106880776466,0.08333333333333333,0.125,3,23,0.75,0.25,0.06,0.02
Singapore,0.16666666666666666,0.0,0.07172621677966244,0.45937500000000003,0.007607214190892724,0.08333333333333333,0.08333333333333333,3,23,0.0,1.0,0.0,0.04
Switzerland,0.4583333333333333,0.0012681159420289854,0.1589990689542051,0.525,0.009931722691490065,0.29166666666666663,0.16666666666666666,3,23,0.9,0.1,0.18,0.02
Netherlands,0.3333333333333333,0.0,0.1683536554096998,0.525,0.011764287760600343,0.29166666666666663,0.041666666666666664,3,23,0.8571428571428571,0.14285714285714285,0.12,0.02
Spain,0.125,0.0,0.02482628146691636,0.3666666666666667,0.044920644448311536,0.08333333333333333,0.041666666666666664,0,0,1.0,0.0,0.06,0.0
Philippines,0.041666666666666664,0.0,0.01364851019379226,0.3361111111111111,0.007726277071748831,0.041666666666666664,0.0,0,0,1.0,0.0,0.02,0.0
Lithuania,0.375,0.000966183574879227,0.0799737733195211,0.45937500000000003,0.007814450735407073,0.125,0.25,3,23,0.7142857142857143,0.2857142857142857,0.1,0.04
Canada,0.041666666666666664,0.0,0.03740991087679013,0.4583333333333333,0.006672407559424323,0.041666666666666664,0.0,0,0,1.0,0.0,0.02,0.0
Uruguay,0.041666666666666664,0.0,7.012116607752684e-11,0.0,0.006489555808016785,0.0,0.041666666666666664,3,24,1.0,0.0,0.02,0.0
